9863065,19971101,article,mesh,"Air Pollutants,DNA Damage,Electrophoresis, Agar Gel,Formaldehyde,HL-60 Cells,Humans,Hydroxybutyrates,Methyl Ethers,Mutagenicity Tests,tert-Butyl Alcohol","drug effects,metabolism,methods,toxicity","D018922 Q000378 NN,D006885 Q000633 NN,D005557 Q000633 NN,D018922 Q000187 NY,D000393 Q000633 NY,D020002 Q000633 NY,D008738 Q000633 NY,D004587 Q000379 NN","712,6386,15413",NULL,[Cytotoxicity and genotoxicity of methyl tert-butyl ether and its metabolite to human leukemia cells].,"DNA damage of human leukemia (HL-60) cells caused by methyl tert-butyl ether (MTBE), a new gasoline additive, and its metabolites tert-butyl alcohol (TBA), a-hydroxyisobutyric acid (HIBA) and formaldehyde was determined by single cell gel electrophoresis (SCGE), with release of lactate dehydrogenase as an indicator for evaluating its cytotoxicity. Results showed that MTBE, TBA and HUBA at levels of 1 to 30 mmol/L could cause DNA damage in a dose-dependent pattern. Formaldehyde at level of 5 mumol/L could ca",Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],"G Tang, J Wang, Z Zhuang"," Faculty of Public Health, Xi'an Medical University.",1997 Nov;31(6):334-7,NULL
17900805,20080501,article,"xref,mesh","Adult,Cells, Cultured,Comet Assay,Cyclic N-Oxides,DNA Breaks, Double-Stranded,DNA Breaks, Single-Stranded,DNA Repair,Environmental Pollutants,Female,Free Radical Scavengers,Humans,Hydrocarbons, Aromatic,Lymphocytes,Methyl Ethers","drug effects,pharmacology,toxicity","D006841 Q000633 NY,D053903 Q000187 YN,D003497 Q000494 NN,D004785 Q000633 NY,D016166 Q000494 NN,D008738 Q000633 NY,D053904 Q000187 YN","241,1140,1774,4390,7237,7500,15413,638877,10313352,11457832,46878261,85138495","127571610,127590400,127659258,127676247,128239782,129369435,129456661,129821860,129861263","Assessment of genotoxicity of methyl-tert-butyl ether, benzene, toluene, ethylbenzene, and xylene to human lymphocytes using comet assay.","Methyl-tert-butyl ether (MTBE) is a gasoline oxygenate and antiknock additive substituting for lead alkyls currently in use worldwide. Benzene, toluene, ethylbenzene, and xylene (BTEX) are volatile monoaromatic hydrocarbons which are commonly found together in crude petroleum and petroleum products such as gasoline. The aim of this study is to evaluate the genotoxic effects of these tested chemicals in human lymphocytes. Using the alkaline comet assay, we showed that all of the tested chemicals induce DNA d",Journal of hazardous materials,"Colin S Chen, You C Hseu, Shih H Liang, Jar-Yi Kuo, Ssu C Chen"," Department of Biotechnology, National Kaohsiung Normal University, Kaohsiung, Taiwan.",2008 May;153(?):351-6,10.1016/j.jhazmat.2007.08.053
10746943,20000301,article,mesh,"Administration, Oral,Air Pollutants,Animals,Body Weight,Endocrine System,Hormones,Kidney,Liver,Male,Methyl Ethers,Organ Size,Radioimmunoassay,Rats,Rats, Sprague-Dawley,Receptors, Cell Surface,Receptors, Dopamine,Steroids,Testosterone,Thyroid Function Tests","agonists,antagonists &amp; inhibitors,biosynthesis,blood,drug effects,metabolism,pathology,toxicity","D011956 Q000819 NN,D008099 Q000473 NN,D013739 Q000378 NN,D001835 Q000187 NN,D011956 Q000037 NN,D007668 Q000473 NN,D009929 Q000187 NN,D004703 Q000187 NY,D006728 Q000097 NY,D011954 Q000187 NN,D000393 Q000633 NY,D013256 Q000096 NN,D008738 Q000633 NY,D013739 Q000097 NN","6013,15413,119207,12304591",NULL,Alterations in endocrine responses in male Sprague-Dawley rats following oral administration of methyl tert-butyl ether.,"Methyl tert-butyl ether (MTBE) is an oxygenated fuel additive used to decrease carbon monoxide emissions during combustion. MTBE is a nongenotoxic chemical that induces Leydig cell tumors (LCT) in male rats. The mechanism of MTBE-induced LCT is not known; however, LCT induced by other nongenotoxic chemicals have been associated with the disruption of the hypothalamus-pituitary-testicular (HPT) axis. The objective of this study was to determine whether MTBE functions as an endocrine-active compound by affect",Toxicological sciences : an official journal of the Society of Toxicology,"T M Williams, R C Cattley, S J Borghoff"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709-2137, USA. twilliams@ciit.org",2000 Mar;54(1):168-76,10.1093/toxsci/54.1.168
12923780,20030801,article,"xref,mesh","Adenosine Triphosphate,Electrophoresis, Gel, Two-Dimensional,Environmental Pollutants,Hydrogen Peroxide,Methyl Ethers,Oxidative Stress,Peroxidases,Peroxiredoxins,Proteomics,Pseudomonas putida,Superoxide Dismutase","biosynthesis,drug effects,enzymology,growth &amp; development,metabolism,pharmacology,physiology,toxicity","D016958 Q000201 NN,D000255 Q000378 NN,D016958 Q000254 NN,D016958 Q000187 NY,D016958 Q000378 NN,D004785 Q000633 NY,D006861 Q000494 NN,D000255 Q000096 NN,D008738 Q000633 NY,D013482 Q000378 NN,D016958 Q000502 NN,D010544 Q000378 NN","784,5957,15126,15413,124341,5461108,18666496,71366967,129660564","127590400,129915080",Use of proteomics and physiological characteristics to elucidate ecotoxic effects of methyl tert-butyl ether in Pseudomonas putida KT2440.,"We monitored rates of growth, ATP-synthesis, respiration, and death to assess the sensitivity of the model organism Pseudomonas putida KT2440 to methyl tert-butyl ether (MTBE), and its degree of toxicity. The physiological data obtained suggested that the energy conservation system was the most sensitive site. However, with the help of proteomic analysis we obtained further information and deeper insight into the molecular mechanisms involved. This analysis indicated that sensitivity involves oxidative stre",Proteomics,"Martin Krayl, Dirk Benndorf, Norbert Loffhagen, Wolfgang Babel"," Department of Environmental Microbiology, UFZ-Centre for Environmental Research Leipzig-Halle, PF 500135, D-04301 Leipzig, Germany.",2003 Aug;3(8):1544-52,10.1002/pmic.200300477
17177168,20070101,article,"xref,mesh","Air Pollutants,Animals,Cell Separation,Cell Survival,Cells, Cultured,Dose-Response Relationship, Drug,Lipid Peroxidation,Male,Methyl Ethers,Necrosis,Oxidative Stress,Rats,Rats, Sprague-Dawley,Reactive Oxygen Species,Spermatocytes,Superoxide Dismutase,Testis,Time Factors","drug effects,metabolism,methods,pathology,toxicity","D013737 Q000378 NN,D002470 Q000187 NN,D017382 Q000378 NN,D015227 Q000187 NN,D002469 Q000379 NN,D018384 Q000187 NY,D013737 Q000187 NY,D013090 Q000378 NN,D000393 Q000633 NY,D013737 Q000473 NN,D008738 Q000633 NY,D013090 Q000187 NY,D013482 Q000378 NN","4939,15413,22541,65047,104913","127443305,127590400,127623992,129514013,129888650",Methyl tert-butyl ether (MTBE)-induced cytotoxicity and oxidative stress in isolated rat spermatogenic cells.,"Methyl tert-butyl ether (MTBE) is a class of synthetic organic chemical. In the USA, MTBE pollution is regarded as a serious environmental problem. The objective of the present study was to investigate the cytotoxic effects and oxidative stress induced by MTBE in isolated rat spermatogenic cells. In cytotoxic experiments, spermatogenic cells isolated from the testes of adult Sprague-Dawley rats by a mechanical procedure without the use of trypsin were incubated with medium alone (control), 0.5, 5, 50 mm MTB",Journal of applied toxicology : JAT,"Dongmei Li, Daqiang Yin, Xiaodong Han"," Immunology and Reproductive Biology Laboratory, Medical School, Nanjing University, Nanjing, Jiangsu 210093, PR China.",2007 Jan;27(1):10-7,10.1002/jat.1178
18467015,20080701,article,"xref,mesh","Air Pollutants,Androgen-Binding Protein,Animals,DNA Glycosylases,Dose-Response Relationship, Drug,Epididymis,Follicle Stimulating Hormone,Hormones,Luteinizing Hormone,Male,Malondialdehyde,Methyl Ethers,Oxidative Stress,RNA, Messenger,Random Allocation,Rats,Rats, Sprague-Dawley,Spermatozoa,Superoxide Dismutase,Testis,Testosterone","abnormalities,blood,drug effects,metabolism,pathology,physiology,toxicity","D000393 Q000633 NN,D000727 Q000097 NN,D045647 Q000378 NN,D004822 Q000187 NY,D004822 Q000473 NN,D013094 Q000002 NY,D007986 Q000097 NN,D006728 Q000097 NY,D005640 Q000097 NN,D013737 Q000187 NY,D013737 Q000502 NN,D013737 Q000473 NN,D008738 Q000633 NY,D008315 Q000097 NN,D013739 Q000097 NN,D013482 Q000378 NN,D013094 Q000187 NY,D004822 Q000502 NN","6013,10964,15413,22541,75389,119207,119315,12304591,135498233","127443305,127590400,128270327,128649586,129627858,247115082",The effects of methyl tert-butyl ether (MTBE) on the male rat reproductive system.,"Methyl tert-butyl ether (MTBE) is an oxygenated compound, which has been widely used in Asia, Europe and North America. Although numerous in vitro and in vivo studies have demonstrated the carcinogenicity and the toxicity of MTBE, there is still a lack of data on reproductive system exposure of MTBE in male rodent animals. We studied subacute exposure of MTBE on the reproductive systems of male Sprague-Dawley rats. MTBE was administered to rats at dose levels of 0, 400, 800 and 1600 mg/kg/day. After 2 or 4 ",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,"Dongmei Li, Chuntao Yuan, Yi Gong, Yufeng Huang, Xiaodong Han"," Immunology and Reproduction Biology Laboratory, Medical School, Nanjing University, Nanjing, Jiangsu 210093, China.",2008 Jul;46(7):2402-8,10.1016/j.fct.2008.03.024
19150650,20090401,article,"xref,mesh","Air Pollutants,Animals,Cell Death,Cell Survival,Cells, Cultured,DNA Glycosylases,Dose-Response Relationship, Drug,Male,Malondialdehyde,Methyl Ethers,Oxidative Stress,RNA, Messenger,Rats,Rats, Sprague-Dawley,Reactive Oxygen Species,Sertoli Cells,Spermatogenesis,Superoxide Dismutase,Time Factors","drug effects,genetics,metabolism,pathology,toxicity","D008315 Q000378 NN,D045647 Q000378 NN,D002470 Q000187 NN,D017382 Q000378 NN,D016923 Q000187 NN,D018384 Q000187 NY,D013091 Q000187 NY,D012333 Q000378 NN,D000393 Q000633 NY,D013482 Q000235 NN,D008738 Q000633 NY,D012708 Q000187 NY,D012708 Q000473 NN,D013482 Q000378 NN,D012708 Q000378 NN","4939,10964,15413,65047,75389,119315,135498233","56365860,127590400,127623992,128270327,129627858,129888650,247115082",Cytotoxicity and oxidative stress study in cultured rat Sertoli cells with methyl tert-butyl ether (MTBE) exposure.,"Cultured Sertoli cells were tested for their cytotoxicity and oxidative stress induced by methyl tert-butyl ether (MTBE) which has been extensively used as a gasoline additive. In cytotoxic experiments, Sertoli cells were cultured with medium alone (control), 5, 500, or 50,000 microM MTBE. Lactate dehydrogcnase (LDH) leakage assay, staining with fluorescein diacetate (FDA) and propidium iodide (PI), and flow cytometric analyses were used. In oxidative stress experiments, Sertoli cells were cultured with med","Reproductive toxicology (Elmsford, N.Y.)","Dongmei Li, Qin Liu, Yi Gong, Yufeng Huang, Xiaodong Han"," Medical School, Nanjing University, Nanjing, Jiangsu 210093, China.",2009 Apr;27(2):170-6,10.1016/j.reprotox.2008.12.004
25280162,20141115,article,mesh,"Animals,Cattle,Chromatography, Gas,Circular Dichroism,DNA,G-Quadruplexes,Humans,Methyl Ethers,Telomere,Thermodynamics","chemistry,metabolism,methods","D016615 Q000737 NY,D008738 Q000378 NY,D008738 Q000737 NN,D004247 Q000378 NY,D002849 Q000379 NY,D004247 Q000737 NN","15413,44135672",NULL,"The study of binding of methyl tert-butyl ether to human telomeric G-quadruplex and calf thymus DNA by gas chromatography, a thermodynamic discussion.","Methyl-tert-butyl ether (MTBE) is widely used as an antiknock additive for increasing octane number of gasoline. Recently, the in vivo studies demonstrated that MTBE has genotoxic potential and able to form adducts with DNA. In the work, the interactions of MTBE with calf thymus DNA (ct-DNA) and the Na(+) form of G-quadruplex DNA (wtTel22) were studied by using of head space-solid phase microextraction technique coupled to gas chromatography. The binding equilibrium constants were measured through the equil","Journal of chromatography. B, Analytical technologies in the biomedical and life sciences","Sahar Ghasemi, Farhad Ahmadi"," Novel Drug Delivery Research Center, Faculty of Pharmacy, Kermanshah University of Medical Sciences, Kermanshah, Islamic Republic of Iran; Department of Medicinal Chemistry, Faculty of Pharmacy, Kermanshah University of Medical Sciences, Kermanshah, Islamic Republic of Iran. Novel Drug Delivery Research Center, Faculty of Pharmacy, Kermanshah University of Medical Sciences, Kermanshah, Islamic Republic of Iran; Department of Medicinal Chemistry, Faculty of Pharmacy, Kermanshah University of Medical Science",2014 Nov;971(?):112-9,10.1016/j.jchromb.2014.09.011
26678376,20170501,article,mesh,"Animals,Biomarkers,Gasoline,Hazardous Substances,Male,Methyl Ethers,Oxidative Stress,Rats,Rats, Sprague-Dawley,Toxicity Tests","metabolism,toxicity","D015386 Q000633 NY,D008738 Q000633 NY,D015415 Q000378 NN",15413,NULL,Exposure to methyl tert-butyl ether (MTBE) is associated with mitochondrial dysfunction in rat.,"1. Methyl tert-butyl ether (MTBE) is commonly used as an octane booster and oxygenate additive to gasoline. The assumed toxic effects of MTBE on human health are a matter of great debate. Exposure to MTBE has been shown to induce oxidative damage and no mechanistic explanation is available so far. Our goals were to determine whether MTBE is a mitochondrial toxicant, if so, what mechanism(s) is involved. 2. Male Sprague-Dawley rats were received MTBE in drinking water for 3 months. At the end of treatments, ",Xenobiotica; the fate of foreign compounds in biological systems,"Arastoo Saeedi, Mahmoud Omidi, Mohammad Javad Khoshnoud, Afshin Mohammadi-Bardbori"," a Department of Pharmacology and Toxicology , School of Pharmacy, Shiraz University of Medical Sciences , Shiraz , Fars , Iran. a Department of Pharmacology and Toxicology , School of Pharmacy, Shiraz University of Medical Sciences , Shiraz , Fars , Iran. a Department of Pharmacology and Toxicology , School of Pharmacy, Shiraz University of Medical Sciences , Shiraz , Fars , Iran. a Department of Pharmacology and Toxicology , School of Pharmacy, Shiraz University of Medical Sciences , Shiraz , Fars , Iran.",2017 May;47(5):423-430,10.3109/00498254.2015.1125040
29039499,20171201,article,mesh,"Animals,CHO Cells,Catalase,Cell Death,Cell Membrane,Cell Survival,Cricetinae,Cricetulus,Electrophoresis, Gel, Two-Dimensional,Glutathione Peroxidase,L-Lactate Dehydrogenase,Lipid Peroxidation,Membrane Proteins,Methyl Ethers,Oxidative Stress,Proteome,Proteomics,Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization,Superoxide Dismutase","drug effects,metabolism,pharmacology","D008565 Q000378 NN,D005979 Q000378 NN,D002470 Q000187 NN,D008738 Q000494 NY,D018384 Q000187 NN,D007770 Q000378 NN,D015227 Q000187 NN,D020543 Q000378 NY,D002462 Q000187 NN,D013482 Q000378 NN,D002462 Q000378 NN,D002374 Q000378 NN",15413,NULL,An investigation of methyl tert‑butyl ether‑induced cytotoxicity and protein profile in Chinese hamster ovary cells.,"Methyl tert-butyl ether (MTBE) is widely used as an oxygenating agent in gasoline to reduce harmful emissions. However, previous studies have demonstrated that MTBE is a cytotoxic substance that has harmful effects in vivo and in vitro. Although remarkable progress has been made in elucidating the mechanisms underlying the MTBE‑induced reproductive toxicological effect in different cell lines, the precise mechanisms remain far from understood. The present study aimed to evaluate whether mammalian ovary cell",Molecular medicine reports,"Guangshan Xie, Wen-Xu Hong, Li Zhou, Xifei Yang, Haiyan Huang, Desheng Wu, Xinfeng Huang, Weiguo Zhu, Jianjun Liu"," Shenzhen Research Institute of Population and Family Planning, Shenzhen, Guangdong 518040, P.R. China. Shenzhen Research Institute of Population and Family Planning, Shenzhen, Guangdong 518040, P.R. China. Key Laboratory of Modern Toxicology of Shenzhen, Medical Key Laboratory of Guangdong Province, Medical Key Laboratory of Health Toxicology of Shenzhen, Shenzhen Center for Disease Control and Prevention, Shenzhen, Guangdong 518055, P.R. China. Key Laboratory of Modern Toxicology of Shenzhen, Medical Key ",2017 Dec;16(6):8595-8604,10.3892/mmr.2017.7761
19458137,20090301,article,"xref,mesh","Air Pollutants,Animals,Cell Cycle,Cell Cycle Proteins,Cell Line, Transformed,Cell Proliferation,Comet Assay,Cyclin D1,Cyclin-Dependent Kinase Inhibitor p27,DNA Damage,DNA Fragmentation,Fibroblasts,Methyl Ethers,Oxidative Stress,Rats,Tumor Suppressor Protein p53,tert-Butyl Alcohol","drug effects,metabolism,pathology,physiology,toxicity","D005347 Q000473 NN,D018797 Q000187 NN,D018797 Q000378 NN,D019938 Q000378 NN,D018384 Q000187 NN,D005347 Q000378 NN,D050760 Q000378 NN,D049109 Q000187 NY,D016159 Q000378 NN,D000393 Q000633 NY,D020002 Q000633 NY,D002453 Q000187 NN,D005347 Q000187 NY,D008738 Q000633 NY,D002453 Q000502 NN","263,6386,8909,15413,71581456","127746861,127789678,128530390",Differential toxic effects of methyl tertiary butyl ether and tert-butanol on rat fibroblasts in vitro.,"Methyl tertiary butyl ether (MTBE) is the most widely used motor vehicle fuel oxygenate since it reduces harmful emissions due to gasoline combustion. However, the significant increase in its use in recent years has raised new questions related to its potential toxicity. In fact, although available data are somehow conflicting, there is evidence that MTBE is a toxic substance that may have harmful effects on both animals and humans and an unresolved problem is the role played by MTBE metabolites, especially",Toxicology and industrial health,"A Sgambato, I Iavicoli, B De Paola, G Bianchino, A Boninsegna, A Bergamaschi, A Pietroiusti, A Cittadini"," Institute of General Pathology, ""Giovanni XXIII"" Cancer Research Center, Catholic University of Sacred Heart, Rome, Italy.",2009 Mar;25(2):141-51,10.1177/0748233709104867
